stock_item_stock_group_id,stock_item_id,stock_group_id,last_edited_by,last_edited_when
1,1,6,1,2013-01-01 00:00:00
2,1,1,1,2013-01-01 00:00:00
3,1,7,1,2013-01-01 00:00:00
4,2,6,1,2013-01-01 00:00:00
5,2,1,1,2013-01-01 00:00:00
6,2,7,1,2013-01-01 00:00:00
7,3,6,1,2013-01-01 00:00:00
8,3,1,1,2013-01-01 00:00:00
9,4,6,1,2013-01-01 00:00:00
10,4,1,1,2013-01-01 00:00:00
11,4,7,1,2013-01-01 00:00:00
12,5,6,1,2013-01-01 00:00:00
13,5,1,1,2013-01-01 00:00:00
14,5,7,1,2013-01-01 00:00:00
15,6,6,1,2013-01-01 00:00:00
16,6,1,1,2013-01-01 00:00:00
17,6,7,1,2013-01-01 00:00:00
18,7,6,1,2013-01-01 00:00:00
19,7,1,1,2013-01-01 00:00:00
20,7,7,1,2013-01-01 00:00:00
21,8,6,1,2013-01-01 00:00:00
22,8,1,1,2013-01-01 00:00:00
23,8,7,1,2013-01-01 00:00:00
24,9,6,1,2013-01-01 00:00:00
25,9,1,1,2013-01-01 00:00:00
26,9,7,1,2013-01-01 00:00:00
27,10,6,1,2013-01-01 00:00:00
28,10,1,1,2013-01-01 00:00:00
29,10,7,1,2013-01-01 00:00:00
30,11,6,1,2013-01-01 00:00:00
31,11,1,1,2013-01-01 00:00:00
32,11,7,1,2013-01-01 00:00:00
33,12,6,1,2013-01-01 00:00:00
34,12,1,1,2013-01-01 00:00:00
35,12,7,1,2013-01-01 00:00:00
36,13,6,1,2013-01-01 00:00:00
37,13,1,1,2013-01-01 00:00:00
38,13,7,1,2013-01-01 00:00:00
39,14,6,1,2013-01-01 00:00:00
40,14,1,1,2013-01-01 00:00:00
41,14,7,1,2013-01-01 00:00:00
42,15,6,1,2013-01-01 00:00:00
43,15,1,1,2013-01-01 00:00:00
44,15,7,1,2013-01-01 00:00:00
45,16,6,1,2013-01-01 00:00:00
46,16,3,1,2013-01-01 00:00:00
47,16,1,1,2013-01-01 00:00:00
48,17,6,1,2013-01-01 00:00:00
49,17,3,1,2013-01-01 00:00:00
50,17,1,1,2013-01-01 00:00:00
